year,month,yyyymm,n_crop_pixels,openet_mean,nldas_mean,delta_mean,delta_std,delta_min,delta_max
2018,4,201804,808,40.289603960396036,23.969913482666016,16.319690307768266,6.560501662478949,-5.006807327270508,38.940494537353516
2018,5,201805,808,71.57797029702971,67.8934555053711,3.684510287671986,18.065789484226396,-49.59825897216797,63.256988525390625
2018,6,201806,808,113.20049504950495,105.67884826660156,7.5216488177233405,16.02527206663564,-47.26886749267578,74.1453857421875
2018,7,201807,808,147.31435643564356,134.31939697265625,12.99495519505869,13.171951402255283,-61.5626220703125,78.22929382324219
2018,8,201808,808,115.61262376237623,106.45909881591797,9.153522840820917,10.744844391051263,-27.199241638183594,56.98182678222656
2018,9,201809,808,64.71658415841584,71.2225112915039,-6.505929847755055,6.04423547673127,-27.372352600097656,12.116622924804688
2018,10,201810,808,27.628712871287128,30.682641983032227,-3.053927541959404,5.125182322386413,-22.930694580078125,12.858509063720703
2018,11,201811,808,11.066831683168317,9.601400375366211,1.4654308303748027,3.3343603896534675,-7.790003776550293,10.213696002960205
2018,12,201812,808,6.846534653465347,4.131937026977539,2.7145979454611786,2.5891149116972194,-6.005399227142334,10.154793977737427
2019,1,201901,788,6.0,6.654387474060059,-0.6543874790523257,3.2976432878079023,-11.854793548583984,8.427500247955322
2019,2,201902,788,4.925126903553299,7.515854835510254,-2.590727712902321,3.5559487002300934,-11.75080680847168,7.1489996910095215
2019,3,201903,788,22.782994923857867,16.491104125976562,6.291890120143212,8.221419104893737,-14.603296279907227,29.81939697265625
2019,4,201904,788,44.526649746192895,29.967361450195312,14.559287865149793,9.885582185781379,-20.09798812866211,77.3284969329834
2019,5,201905,788,58.931472081218274,54.929718017578125,4.001756692295753,14.086570253107489,-30.48078155517578,52.444061279296875
2019,6,201906,788,94.43401015228426,85.19754028320312,9.236468368375363,18.903677572671068,-47.622169494628906,80.96338272094727
2019,7,201907,788,135.23350253807106,124.34566497802734,10.887839932127047,12.062340408846653,-31.382736206054688,80.6999282836914
2019,8,201908,788,109.24746192893402,100.23358154296875,9.013881712395527,7.060868301416634,-25.962905883789062,40.17533874511719
2019,9,201909,788,72.8515228426396,75.20027160644531,-2.3487452976594723,15.476969996279745,-63.01782989501953,49.556915283203125
2019,10,201910,788,31.472081218274113,34.72132873535156,-3.24924473835127,5.4303973957561515,-24.304401397705078,17.971603393554688
2019,11,201911,788,13.937817258883248,8.57901382446289,5.358803564521867,3.2242207884808787,-5.75479793548584,18.528802394866943
2019,12,201912,788,7.3286802030456855,3.7796695232391357,3.549010658173392,2.156415394984385,-2.523402690887451,15.670100927352905
2020,1,202001,794,5.395465994962216,5.297040939331055,0.09842472953219858,2.605947868078349,-7.056306838989258,11.630899906158447
2020,2,202002,794,13.425692695214106,6.037330150604248,7.388362711262643,4.861202822683568,-9.299497604370117,18.388198375701904
2020,3,202003,794,28.190176322418136,21.846738815307617,6.343436515000965,5.899097040753531,-11.863077163696289,24.174604415893555
2020,4,202004,794,44.084382871536526,29.70610237121582,14.378282436495764,8.705502920300054,-15.554607391357422,46.86868667602539
2020,5,202005,794,56.7544080604534,51.178192138671875,5.576212808527334,13.859572056041317,-31.15935516357422,45.731529235839844
2020,6,202006,794,108.11586901763224,99.701904296875,8.413971936972976,15.3511622972501,-41.895790100097656,67.5930404663086
2020,7,202007,794,151.46851385390428,131.34815979003906,20.120362135264976,12.278520549314036,-38.24052429199219,79.92829895019531
2020,8,202008,794,132.96347607052897,96.49979400634766,36.46368523989276,15.342191817729283,-17.27942657470703,79.56986236572266
2020,9,202009,794,63.30352644836272,50.95859146118164,12.344935729461593,13.12304765763305,-23.61107635498047,47.87251281738281
2020,10,202010,794,26.65617128463476,21.857240676879883,4.79893143171027,6.32744895611423,-13.452709197998047,26.175495147705078
2020,11,202011,794,15.1183879093199,7.324995517730713,7.793392595476107,4.55993965225651,-3.93280029296875,21.401997089385986
2020,12,202012,794,6.870277078085643,2.6903226375579834,4.179954308406532,1.5528625842163675,0.46990203857421875,12.680899977684021
2021,1,202101,789,3.726235741444867,4.4553961753845215,-0.7291605170386524,1.8383626568360691,-6.906200408935547,4.54580283164978
2021,2,202102,789,6.992395437262357,6.929660320281982,0.06273511879344404,4.838881642259753,-11.457198143005371,11.536796569824219
2021,3,202103,789,30.542458808618505,23.822391510009766,6.72006824986563,8.847264942347085,-19.76109504699707,31.23239517211914
2021,4,202104,789,39.26362484157161,28.833337783813477,10.430287642775077,8.638364719848335,-13.40699577331543,39.987796783447266
2021,5,202105,789,58.02661596958175,56.367488861083984,1.6591272390387357,15.884358025723877,-40.22856903076172,61.2156982421875
2021,6,202106,789,108.19518377693282,99.4852066040039,8.709977013378845,15.300749232491711,-38.76945495605469,72.17979431152344
2021,7,202107,789,157.0874524714829,131.8441925048828,25.243252878708834,12.512748157680624,-25.285308837890625,69.44729614257812
2021,8,202108,789,135.00760456273764,108.78389739990234,26.22371144651309,16.45788988787343,-19.78459930419922,80.16712188720703
2021,9,202109,789,81.49683143219265,68.14807891845703,13.34875035255732,10.717613355650967,-15.010337829589844,46.07990264892578
2021,10,202110,789,32.664131812420784,31.343002319335938,1.3211298581160822,6.385639369561253,-18.402179718017578,23.38849449157715
2021,11,202111,789,15.304182509505704,10.012347221374512,5.291834858433829,3.466864796712093,-3.4311161041259766,15.288702964782715
2021,12,202112,789,9.032953105196452,4.426280975341797,4.606672033761995,2.75024295290558,-4.678901672363281,13.83519959449768
2022,1,202201,769,6.671001300390117,5.861856937408447,0.8091441469632757,3.558078795417585,-10.141797065734863,10.490500926971436
2022,2,202202,769,11.22886866059818,6.385166168212891,4.843702444639566,3.8212042077085466,-10.56930160522461,15.655101299285889
2022,3,202203,769,29.37711313394018,20.230472564697266,9.146639759425844,5.653594180610555,-6.367101669311523,26.262100219726562
2022,4,202204,769,41.70871261378414,32.51210021972656,9.196614313807691,10.48402153555815,-19.88589096069336,38.659393310546875
2022,5,202205,769,61.340702210663196,57.204132080078125,4.136569101261689,16.856626354059753,-45.150672912597656,51.803688049316406
2022,6,202206,769,106.14174252275683,99.91165161132812,6.230078465296791,16.571637045706645,-33.455482482910156,79.8174934387207
2022,7,202207,769,154.88686605981795,133.28823852539062,21.59862795111727,14.248502814464478,-18.172317504882812,74.83991241455078
2022,8,202208,769,130.34590377113133,97.21253204345703,33.13336690101574,19.330827640586065,-14.212051391601562,88.26023864746094
2022,9,202209,769,83.28998699609883,60.82761764526367,22.462372242861825,12.96820757181736,-17.68268585205078,60.70281219482422
2022,10,202210,769,35.698309492847855,19.31954002380371,16.37876895438245,7.9494993987632325,-8.254878997802734,43.074615478515625
2022,11,202211,769,15.148244473342002,8.439238548278809,6.7090065190944,3.706337751714619,-3.314809799194336,20.658401489257812
2022,12,202212,769,7.283485045513654,5.183017730712891,2.100467340223811,2.466605377469452,-4.209591865539551,10.023798942565918
2023,1,202301,776,7.783505154639175,5.158748626708984,2.6064125753218126,5.202532996048799,-8.392001152038574,17.849801301956177
2023,2,202302,776,14.10180412371134,6.28420877456665,7.804823412741384,6.886224135108722,-6.639499664306641,22.475600004196167
2023,3,202303,776,27.20360824742268,17.031478881835938,10.165941968117991,4.468792082643397,-10.099193572998047,20.93260955810547
2023,4,202304,776,41.28737113402062,33.3283576965332,7.952930967269405,9.261484890166157,-17.023101806640625,34.0673885345459
2023,5,202305,776,69.29381443298969,59.47314453125,9.792656257383285,17.646888423522906,-27.573299407958984,74.03699111938477
2023,6,202306,776,115.38273195876289,93.11181640625,22.23785632225775,14.344070194498833,-21.625411987304688,81.73241424560547
2023,7,202307,776,159.24613402061857,127.82856750488281,31.42303747361706,12.091227667190543,-26.830429077148438,70.71404266357422
2023,8,202308,776,132.55670103092783,98.37466430664062,34.17887985721711,11.253423095178162,-2.2041473388671875,67.4946060180664
2023,9,202309,776,81.98711340206185,52.88323974609375,29.080626816288117,10.502450173305904,-11.572349548339844,52.82651901245117
2023,10,202310,776,32.67139175257732,24.8840389251709,7.775314588239116,6.30261035680015,-15.763687133789062,27.420917510986328
2023,11,202311,776,14.443298969072165,6.066567420959473,8.370851137407364,2.761626261143748,-3.114408493041992,19.034499645233154
2023,12,202312,776,8.030927835051546,2.889730930328369,5.138656087921512,2.207261440355987,-1.6167988777160645,11.90220022201538
2024,1,202401,799,7.204005006257822,4.934327125549316,2.269678154934631,2.025677686237445,-3.954598903656006,7.347802639007568
2024,2,202402,799,17.593241551939926,7.225368499755859,10.36787305337765,3.0222912775379602,1.427597999572754,21.46199893951416
2024,3,202403,799,34.03003754693367,24.32339096069336,9.70664612193579,6.671507641791638,-16.202388763427734,27.610511779785156
2024,4,202404,799,46.335419274092615,41.03021240234375,5.305204988271931,12.04086306411366,-28.392887115478516,34.934810638427734
2024,5,202405,799,75.26533166458073,81.11260223388672,-5.847271118355036,15.041966340306722,-46.578697204589844,46.988922119140625
2024,6,202406,799,105.6720901126408,109.03367614746094,-3.3615866172895563,15.641962539851166,-63.014404296875,57.62861633300781
2024,7,202407,799,137.84230287859825,133.33612060546875,4.506194199429585,10.177763783451951,-73.85398864746094,43.163352966308594
2024,8,202408,799,123.84355444305382,108.6975326538086,15.146020194615827,11.816522729149671,-41.23969268798828,56.63783264160156
2024,9,202409,799,87.48560700876095,66.9239501953125,20.561656999647692,14.96811350702161,-9.2974853515625,64.13834381103516
2024,10,202410,799,39.09637046307885,20.130462646484375,18.965907356467504,9.312173713400604,-5.137546539306641,55.919795989990234
2024,11,202411,799,12.272841051314142,10.654545783996582,1.6182947761573838,2.961862676243249,-6.953805923461914,11.233896255493164
2024,12,202412,799,6.546933667083855,2.319171905517578,4.227761921805047,2.595319553814754,-2.7656006813049316,11.25120210647583
